Place of interest;Type of place;Place address;BiciMAD station;Station location
Asambleas de Evangelización Mundial para Cristo (AEMC);no_catolicas;CALLE ANTONIA RODRIGUEZ SACRISTAN 8;Marqués de Vadillo;Glorieta Marqués de Vadillo nº 9
Asociación Darse - Dar Ayuda para la Reinserción Social España;no_catolicas;CAMINO ALTO DE SAN ISIDRO 16 PLANTA 2º C C;Marqués de Vadillo;Glorieta Marqués de Vadillo nº 9
Asociación Tiempo Para Cuidar;no_catolicas;CALLE GENERAL LACY 24 PLANTA BAJA A;Delicias;Calle Bustamante nº 1
Asociación Visión Internacional;no_catolicas;CALLE DISCOBOLO 53;Gutierre de Cetina;Calle Gutierre de Cetina nº 77
Basílica Jesús de Medinaceli;catolicas;PLAZA JESUS 2;Huertas;Calle Jesús nº 1
Basílica La Milagrosa;catolicas;CALLE GARCIA DE PAREDES 45;General Martínez Campos ;Calle Fernández de la Hoz nº 29
Basílica Pontificia de San Miguel;catolicas;CALLE SAN JUSTO 4;Plaza del Cordón;Plaza del Cordón
Capilla de San Isidro;catolicas;CALLE AGUILA 1;Plaza de los Carros;Carrera de San Francisco nº 1
Casa sobre la Roca Iglesia Cristiana Integral - Madrid;no_catolicas;CALLE ULISES 1;Condesa de Venadito;Calle Condesa de Venadito nº 2
Catedral Anglicana de Madrid;no_catolicas;CALLE BENEFICENCIA 18;Hortaleza;Calle Hortaleza nº 75
Catedral Ortodoxa Griega. Santa Iglesia Catedral de los Santos Andrés y Demetrio;no_catolicas;CALLE NICARAGUA 12;Colombia;Calle Colombia nº 7
Catedral Santa María la Real de la Almudena;catolicas;CALLE BAILEN 10;Segovia 26;Calle Segovia nº 26
Centro Apostólico Cristo Viene;no_catolicas;CALLE ANTONIO LOPEZ 236 PLANTA 1;Glorieta de Cádiz;Calle Antonio López nº 129
Centro Cristiano Ciudad de Refugio;no_catolicas;CALLE GODELLA 103 PLANTA 1 D;Embajadores 191;Calle Sodio nº 1B
Centro Cultural Islámico. Mezquita de Madrid;no_catolicas;CALLE SALVADOR DE MADARIAGA 7;Derechos Humanos;Calle Derechos Humanos nº 12
Centro Evangélico de Restauración Aliento de Vida;no_catolicas;CALLE PUERTO DE LAS PILAS 12;Pavones;Calle Hacienda de Pavones nº 342
Centro de Evangelización Anuncio de Paz;no_catolicas;CALLE PUERTO DEL MONASTERIO 10 PLANTA BAJO;Concordia;Calle Arroyo del Olivar nº 6
Christ International Ministries;no_catolicas;CALLE LA ALBERCA 1;Facultad Derecho;Avenida Complutense nº 23
Christ Missions Evangelical Church;no_catolicas; CIUDAD DE FRIAS 18;Glorieta de Cádiz;Calle Antonio López nº 129
Comunidad Cristiana Decisión;no_catolicas;CALLE MEQUINENZA 20 PLANTA local;Gutierre de Cetina;Calle Gutierre de Cetina nº 77
Comunidad Cristiana Eben-Ezer de la Villa de Vallecas;no_catolicas;CALLE SIERRA DE TORTEJADA 2;Pavones;Calle Hacienda de Pavones nº 342
Comunidad Cristiana Maranatha;no_catolicas;CALLE GRANADA 8;Puerta de Granada;Avenida de Menéndez Pelayo nº 38
Comunidad Cristiana Misionera Newma España;no_catolicas;CALLE ANGOSTA 2 PLANTA 3ª D;Glorieta de Cádiz;Calle Antonio López nº 129
Comunidad Eben-Ezer Dios Es Amor;no_catolicas;CALLE VILLALOBOS 11 local;Sierra Toledana;Camino de Valderribas nº 94
Comunidad Evangélica Internacional;no_catolicas;CALLE CIDRO 14 PLANTA BAJO Polígono Aguacate;Marqués de Vadillo;Glorieta Marqués de Vadillo nº 9
Comunidad Evangélica de habla alemana;no_catolicas;PASEO CASTELLANA 6;Castellana;Paseo de la Castellana nº 4
Comunidad Sendero de la Cruz (Iglesia de Celebración Cristiana);no_catolicas;CALLE MIGUEL FLETA 11;Gutierre de Cetina;Calle Gutierre de Cetina nº 77
Comunidad cristiana Eben-ezer de Pueblo Nuevo;no_catolicas;CALLE JULIAN CAMARILLO 39;Gutierre de Cetina;Calle Gutierre de Cetina nº 77
Comunidad cristiana El Faro;no_catolicas;CALLE SIERRA DE ALCUBIERRE 2 y 4;Concordia;Calle Arroyo del Olivar nº 6
Concepción Real de Calatrava;catolicas;CALLE ALCALA 25;Sevilla;Calle Alcalá nº 27
Convento de las Comendadoras de Santiago;catolicas;PLAZA COMENDADORAS 10;Conde Duque;Calle Conde Duque nº 22
Ermita Virgen del Puerto;catolicas;PASEO VIRGEN DEL PUERTO 4;Segovia 45;Calle Segovia nº 45
Ermita de San Isidro;catolicas;PASEO ERMITA DEL SANTO 72;Ermita Santo;Paseo de la Ermita del Santo nº 48
Fuente de San Isidro;catolicas;PASEO ERMITA DEL SANTO 72;Ermita Santo;Paseo de la Ermita del Santo nº 48
Iglesia  Evangélica Bautista Pueblo Nuevo;no_catolicas;CALLE GUTIERRE DE CETINA 13;José María Pereda;Calle José María de Pereda nº 1
Iglesia Anglicana de San Jorge;no_catolicas;CALLE NUÑEZ DE BALBOA 43;Ayala;Calle Ayala nº 44
